code,name,industry,status,candidate_layer,mainline_status,mainline_base_score,signal_status,market_score,industry_score,fundamental_status,trend_template_type,keypoint_type,keypoint_price,keypoint_distance_pct,volume_quality,close_quality,risk_level,trade_plan_type,suggested_action,watch_price,trigger_price,buy_lower,buy_upper,suggested_buy_price,stop_loss_price,take_profit_1,take_profit_2,trailing_stop_rule,suggested_position,include_reason,exclude_reason,rejected_reason_detail,risk_warning
688508,芯朋微,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,B,A,,,0.0406,,,观察,观察计划,重点观察，等待触发,93.78,97.59,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
688135,利扬芯片,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,-0.0238,,,观察,观察计划,重点观察，等待触发,44.96,43.89,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,成交量不足,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
688689,银河微电,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,0.0193,,,观察,观察计划,重点观察，等待触发,44.15,45.0,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
688110,东芯股份,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,0.0361,,,观察,观察计划,重点观察，等待触发,164.75,170.7,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
688045,必易微,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,-0.0149,,,观察,观察计划,重点观察，等待触发,73.23,72.14,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,成交量不足,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
688209,英集芯,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,B,,,0.0584,,,观察,观察计划,重点观察，等待触发,26.9,28.47,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板B类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
688401,路维光电,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,0.0023,,,观察,观察计划,重点观察，等待触发,74.33,74.5,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
688362,甬矽电子,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,B,A,,,0.0142,,,观察,观察计划,重点观察，等待触发,54.82,55.6,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
688325,赛微微电,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,0.0742,,,观察,观察计划,重点观察，等待触发,130.33,140.0,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
688035,德邦科技,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,0.0325,,,观察,观察计划,重点观察，等待触发,89.95,92.87,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
688416,恒烁股份,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,0.0501,,,观察,观察计划,重点观察，等待触发,125.23,131.5,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
688372,伟测科技,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,-0.0036,,,观察,观察计划,重点观察，等待触发,172.67,172.05,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,成交量不足,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
301536,星宸科技,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,0.0113,,,观察,观察计划,重点观察，等待触发,93.84,94.9,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
688593,新相微,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,-0.0094,,,观察,观察计划,重点观察，等待触发,42.6,42.2,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,距离 MA20 过远,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
688653,康希通信,半导体,excluded,重点观察个股池,接近确认,78.46,重点观察,57.17,78.46,A,A,,,0.0141,,,观察,观察计划,重点观察，等待触发,16.36,16.59,,,,,,,等待主线确认、关键点触发或回踩确认，不生成正式买入区间,0.0,通过P0基本面硬过滤；趋势模板A类；所属行业状态：接近确认；接近确认主线方向，等待关键点触发,重点观察阶段，等待关键点触发或回踩确认,未触发关键点,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
603989,艾华集团,元器件,excluded,技术突破候选,普通,47.44,,57.17,47.44,A,A,历史新高,21.69,-0.1564,"VOL/MA5=1.64, VOL/MA20=1.95","close_position=1.00, close/high=1.00, close/MA20=1.09",观察,,,,,,,,,,,,0.0,,所属行业未进入主线观察层级,主线未确认,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
002635,安洁科技,元器件,excluded,技术突破候选,普通,47.44,,57.17,47.44,A,A,历史新高,18.15,0.0157,"VOL/MA5=1.53, VOL/MA20=1.90","close_position=1.00, close/high=1.00, close/MA20=1.10",观察,,,,,,,,,,,,0.0,,所属行业未进入主线观察层级,主线未确认,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
002579,中京电子,元器件,excluded,技术突破候选,普通,47.44,,57.17,47.44,B,B,120日平台突破,13.69,0.0588,"VOL/MA5=1.56, VOL/MA20=1.68","close_position=0.81, close/high=0.99, close/MA20=1.07",观察,,,,,,,,,,,,0.0,,所属行业未进入主线观察层级,主线未确认,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
301021,英诺激光,专用机械,excluded,技术突破候选,普通,47.26,,57.17,47.26,A,A,历史新高,67.48,-0.2374,"VOL/MA5=1.58, VOL/MA20=2.35","close_position=0.96, close/high=1.00, close/MA20=1.12",观察,,,,,,,,,,,,0.0,,所属行业未进入主线观察层级,主线未确认,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
001223,欧克科技,专用机械,excluded,技术突破候选,普通,47.26,,57.17,47.26,A,A,历史新高,63.5,-0.0348,"VOL/MA5=1.68, VOL/MA20=1.93","close_position=1.00, close/high=1.00, close/MA20=1.13",观察,,,,,,,,,,,,0.0,,所属行业未进入主线观察层级,主线未确认,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
688571,杭华股份,染料涂料,excluded,技术突破候选,普通,38.59,,57.17,38.59,A,B,历史新高,9.63,-0.0437,"VOL/MA5=1.77, VOL/MA20=2.47","close_position=0.86, close/high=0.98, close/MA20=1.14",观察,,,,,,,,,,,,0.0,,所属行业未进入主线观察层级,主线未确认,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
301377,鼎泰高科,机械基件,excluded,技术突破候选,普通,37.16,,57.17,37.16,A,A,历史新高,244.57,-0.014,"VOL/MA5=1.68, VOL/MA20=1.78","close_position=0.86, close/high=0.99, close/MA20=1.08",观察,,,,,,,,,,,,0.0,,所属行业未进入主线观察层级,主线未确认,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
002034,旺能环境,环境保护,excluded,技术突破候选,普通,24.94,,57.17,24.94,B,B,历史新高,21.23,-0.061,"VOL/MA5=1.72, VOL/MA20=2.39","close_position=1.00, close/high=1.00, close/MA20=1.15",观察,,,,,,,,,,,,0.0,,所属行业未进入主线观察层级,主线未确认,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
601918,新集能源,煤炭开采,excluded,技术突破候选,普通,19.87,,57.17,19.87,A,A,历史新高,9.11,0.0202,"VOL/MA5=1.63, VOL/MA20=1.39","close_position=0.94, close/high=1.00, close/MA20=1.10",观察,,,,,,,,,,,,0.0,,所属行业未进入主线观察层级,主线未确认,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
603165,荣晟环保,造纸,excluded,技术突破候选,普通,8.19,,57.17,8.19,A,A,历史新高,19.13,0.0747,"VOL/MA5=1.61, VOL/MA20=1.80","close_position=0.90, close/high=0.99, close/MA20=1.15",观察,,,,,,,,,,,,0.0,,所属行业未进入主线观察层级,主线未确认,本系统交易建议仅基于规则模型生成，不保证盈利或本金安全。请严格控制仓位，独立承担风险。
